idx,arp_id,dns_id,eth_dst,eth_id,eth_src,eth_type,icmp_id,ip_dst,ip_id,ip_ihl,ip_len,ip_src,ip_tos,ip_version,ipvsix_id,pad_id,raw_id,raw_load,tcp_dport,tcp_fields_options.MSS,tcp_fields_options.NOP,tcp_fields_options.SAckOK,tcp_fields_options.Timestamp,tcp_fields_options.WScale,tcp_id,tcp_seq,tcp_sport,udp_id
0,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,11347,127.0.0.1,0,4,,,,,8080,65495.0,,,3540511654,7.0,,65072,36704,
1,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,11347,127.0.0.1,0,4,,,,,8080,65495.0,,,3540511654,7.0,,65072,36704,
2,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,15546,127.0.0.1,0,4,,,,,36704,65495.0,,,3540511654,7.0,,65072,8080,
3,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,15546,127.0.0.1,0,4,,,,,36704,65495.0,,,3540511654,7.0,,65072,8080,
4,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,11354,127.0.0.1,0,4,,,,,8080,,,,3540511654,,,65064,36704,
5,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,11354,127.0.0.1,0,4,,,,,8080,,,,3540511654,,,65064,36704,
6,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,11208,127.0.0.1,0,4,,,,474554202f20485454502f312e310d0a486f73743a203132372e302e302e313a383038300d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a4163636570742d456e636f64696e673a20677a69702c206465666c6174650d0a4163636570743a202a2f2a0d0a557365722d4167656e743a20707974686f6e2d72657175657374732f322e31332e300d0a0d0a,8080,,,,3540511654,,,65209,36704,
7,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,11208,127.0.0.1,0,4,,,,474554202f20485454502f312e310d0a486f73743a203132372e302e302e313a383038300d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a4163636570742d456e636f64696e673a20677a69702c206465666c6174650d0a4163636570743a202a2f2a0d0a557365722d4167656e743a20707974686f6e2d72657175657374732f322e31332e300d0a0d0a,8080,,,,3540511654,,,65209,36704,
8,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,39326,127.0.0.1,0,4,,,,,36704,,,,3540511654,,,65064,8080,
9,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,39326,127.0.0.1,0,4,,,,,36704,,,,3540511654,,,65064,8080,
10,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,39301,127.0.0.1,0,4,,,,485454502f312e3020343034204e4f5420464f554e440d0a,36704,,,,3540511656,,,65088,8080,
11,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,39301,127.0.0.1,0,4,,,,485454502f312e3020343034204e4f5420464f554e440d0a,36704,,,,3540511656,,,65088,8080,
12,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,11352,127.0.0.1,0,4,,,,,8080,,,,3540511656,,,65064,36704,
13,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,11352,127.0.0.1,0,4,,,,,8080,,,,3540511656,,,65064,36704,
14,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,39168,127.0.0.1,0,4,,,,436f6e74656e742d547970653a20746578742f68746d6c0d0a436f6e74656e742d4c656e6774683a203233330d0a4163636573732d436f6e74726f6c2d416c6c6f772d4f726967696e3a202a0d0a5365727665723a205765726b7a6575672f302e31312e313520507974686f6e2f332e362e330d0a446174653a204d6f6e2c203239204a616e20323031382031393a33303a323120474d540d0a0d0a,36704,,,,3540511656,,,65220,8080,
15,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,39168,127.0.0.1,0,4,,,,436f6e74656e742d547970653a20746578742f68746d6c0d0a436f6e74656e742d4c656e6774683a203233330d0a4163636573732d436f6e74726f6c2d416c6c6f772d4f726967696e3a202a0d0a5365727665723a205765726b7a6575672f302e31312e313520507974686f6e2f332e362e330d0a446174653a204d6f6e2c203239204a616e20323031382031393a33303a323120474d540d0a0d0a,36704,,,,3540511656,,,65220,8080,
16,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,11351,127.0.0.1,0,4,,,,,8080,,,,3540511656,,,65064,36704,
17,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,11351,127.0.0.1,0,4,,,,,8080,,,,3540511656,,,65064,36704,
18,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,39090,127.0.0.1,0,4,,,,3c21444f43545950452048544d4c205055424c494320222d2f2f5733432f2f4454442048544d4c20332e322046696e616c2f2f454e223e0a3c7469746c653e343034204e6f7420466f756e643c2f7469746c653e0a3c68313e4e6f7420466f756e643c2f68313e0a3c703e546865207265717565737465642055524c20776173206e6f7420666f756e64206f6e20746865207365727665722e2020496620796f7520656e7465726564207468652055524c206d616e75616c6c7920706c6561736520636865636b20796f7572207370656c6c696e6720616e642074727920616761696e2e3c2f703e0a,36704,,,,3540511656,,,65297,8080,
19,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,39090,127.0.0.1,0,4,,,,3c21444f43545950452048544d4c205055424c494320222d2f2f5733432f2f4454442048544d4c20332e322046696e616c2f2f454e223e0a3c7469746c653e343034204e6f7420466f756e643c2f7469746c653e0a3c68313e4e6f7420466f756e643c2f68313e0a3c703e546865207265717565737465642055524c20776173206e6f7420666f756e64206f6e20746865207365727665722e2020496620796f7520656e7465726564207468652055524c206d616e75616c6c7920706c6561736520636865636b20796f7572207370656c6c696e6720616e642074727920616761696e2e3c2f703e0a,36704,,,,3540511656,,,65297,8080,
20,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,11350,127.0.0.1,0,4,,,,,8080,,,,3540511656,,,65064,36704,
21,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,11350,127.0.0.1,0,4,,,,,8080,,,,3540511656,,,65064,36704,
22,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,39322,127.0.0.1,0,4,,,,,36704,,,,3540511656,,,65064,8080,
23,,,00:00:00:00:00:00,,00:00:00:00:00:00,2048,,127.0.0.1,,5,39322,127.0.0.1,0,4,,,,,36704,,,,3540511656,,,65064,8080,
